Gisswitchgear_iri,switchgear-asset-identifier-code,rated-voltage-ur,name,country-of-installation,end-customer,LIPROGIS,switchgear-installation-location-type,switchgear-product-type,VDB-number
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11824_AU%3A+P-020504+B3111+KAN+Gatineau+138+kV,RFK,138.0,Gatineau,http://ontology.siemens.com/shared/geography/country/did/0.4#Ca,Black & McDonald,11824,Innen,8dn85,37439
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11825_AU%3A+P-020513+B3115+SAN+JORGE+132+kV+-+REE+-+SPA,RFK,132.0,SAN JORGE,SPA,Red Eléctrica de España,11825,Innen,8dn85,35767
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11826_AU%3A+P-020469+B3131+DEU+UW+Karben+145+kV+,BMK,145.0,UW Karben,http://ontology.siemens.com/shared/geography/country/did/0.4#De,E.ON Avacon AG,11826,Außen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11831_AU%3A+P-020454+B3093+Inch+Cape+OWF+Onshore+275+kV,RFK,275.0,Inch Cape OWF Onshore 275 kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Gb,Inch Cape Offshore Limited,11831,Außen,8DQ161,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11832_AU%3A+P-020455+B3095+Inch+Cape+OWF+Offshore+66kV+%28Circuit+2%29,RFK,66.0,Inch Cape OWF Offshore 66kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Gb,Inch Cape Offshore Limited,11832,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11835_AU%3A+P-020487+B3097+S.E.+La+Caridad+Fundici%C3%B3n+230kV,RFK,230.0,S.E. La Caridad Fundición 230kV,Mexiko,México Generadora de Energía S. de R.L.,11835,Innen,8dn92,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11860_AU%3A+P-020515+B8791+TPIPI+Saraburi,BMK,145.0,Saraburi (Substation Z54/4),NA,TPI POLENE Co. Ltd,11860,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11874_AU%3A+P-020570+UA+RZ+Griesheim,RFK,123.0,UA RZ Griesheim ,http://ontology.siemens.com/shared/geography/country/did/0.4#De,Syna GmbH,11874,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11876_AU%3A+P-020610+B3186+MGIC+220+kV+Ext.,BMK,220.0,MGIC 220 kV Ext.,NA,Transco,11876,Innen,8dn92,37375
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11885_AU%3A+P-020628+B3209+Sande+converter+station+8VN1,RFK,145.0,Sande Converter Station ,http://ontology.siemens.com/shared/geography/country/did/0.4#No,Siemens Mobility,11885,Innen,8VN1-1,37778
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11886_AU%3A+P-020623+B3187+UW+Perlach,RFK,123.0,UW Perlach,http://ontology.siemens.com/shared/geography/country/did/0.4#De,SW M,11886,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11890_AU%3A+P-020581+B3172+EGY+Gasco+66+kV,BMK,123.0,Gasco 66kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Eg,Gasco,11890,Innen,8dn85,37551
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11892_AU%3A+P-020545+A9032+SABINAL+66+kV+Ext2+-+REE,BMK,66.0,SUBESTACIÓN SABINAL PARQUE DE 66 kV,SPA,Red Eléctrica de España,11892,Innen,8dn85,38115
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11895_AU%3A+P-020455+B3095+Inch+Cape+OWF+Offshore+220kV+%28Circuit2%29,RFK,220.0,Inch Cape OWF Offshore 220kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Gb,Inch Cape Offshore Ltd.,11895,Innen,8dn92,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11914_AU%3A+P-020600+B1649+UW+Zaya+Erweiterung+GIB+%3DCA02,BMK,380.0,UW Zaya,NA,APG,11914,Außen,8dq16,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/11920_AU%3A+P-019922+UW+Berlin+Mitte+%28Plan+C%29+420+kV+,BMK,0.0,UW Berlin Mitte,NA,50 hertz,11920,Innen,8DQ161,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/7596_AU%3A+P-020511+B0295+China+Steel+Chemical+Corp.+69kV,BMK,725.0,China Steel Chemical Corp. 69kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Tw,China Steel Chemical Corporation,7596,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/8730_AU%3A+P-019764+B2341+Hylen+Power+Plant+8DQ1-6,BMK,420.0,Transformer Connection,http://ontology.siemens.com/shared/geography/country/did/0.4#No,Statkraft Hylen Power Plant,8730,Außen,8dq16,35688
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/8952_AU%3A+P-017016+B-1287+Shahid+Rajaee+Port+72%2C5kV+GIS,BMK,725.0,Shahid Rajaee Port 72 5kV GIS,http://ontology.siemens.com/shared/geography/country/did/0.4#Ir,National Iranian Petrochemical Co.,8952,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/8995_AU%3A+P-019798+B2408+Angleur+70kV+-+Ext.+2018+BEL+-+Transf.+Bay,RFK,100.0,Angleur 70kV - Extension2 (=F14),http://ontology.siemens.com/shared/geography/country/did/0.4#Be,Ellia Asset S.A.,8995,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9152_P-019864+B2448+SA+Neuland+110kV,BMK,123.0,SA Neuland 110kV,http://ontology.siemens.com/shared/geography/country/did/0.4#De,Stromnetz Hamburg GmbH,9152,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9286_AU%3A+P-016982+B1273+Doln%C3%AD+Bene%C5%A1ov+CRE,BMK,123.0,Dolní Benešov,CRE,NA,9286,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9345_AU%3A+P-019818+B2406+Aalst+70kV,RFK,70.0,Aalst 70kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Be,ELIA  ASSET NV/SA,9345,Innen,8dn85,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9621_AU%3A+P-017058+B1303+RUS+Volzhskaya+GES,BMK,500.0,Volzhskaya GES,Russland,PAO RusHydro,9621,Innen,8dq1,13503
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9700_AU%3A+P-019145+B2049+Kaskasi+II,RFK,170.0,Kaskasi II 155kV Offshore,http://ontology.siemens.com/shared/geography/country/did/0.4#De,Innogy,9700,Innen,8dn86,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9732_AU%3A+P-019739+B2194+NOR+AGDER+Frame+-+Austerdalen,BMK,132.0,Austerdalen,http://ontology.siemens.com/shared/geography/country/did/0.4#No,Agder Energi Nett AS,9732,Innen,8VN1-1,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9775.1_AU%3A+P-018133+VDB+33726+SS16P+8DN8-6+Saudi+Arabien,BMK,115.0,SS16P 115kV,SAR,Royal Commission,9775.1,Innen,8dn86,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9775.2_AU%3A+P-018133+VDB+33726+SS16P+8DN8-6+Saudi+Arabien,BMK,115.0,SS16P 115kV,SAR,Royal Commission,9775.2,Außen,8dn86,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9845_AU%3A+P-019983+B2586+NOR+Nye+Nedre+Fiskumfoss+145kV+8VN1,RFK,145.0,Nye Nedre Fiskumfoss 145kV,NORWEGEN,NTE Energi,9845,Innen,8VN1-1,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9925_AU%3A+P-018098+B2851+Livermore+115+kV+PG%26E,RFK,115.0,Livermore Training Center GIS Bay,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,PG&E,9925,Außen,8VN1-1,NA
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/9944_AU%3A+P-020225+Vesterhav,BMK,725.0,Vesterhav,http://ontology.siemens.com/shared/geography/country/did/0.4#Dk,Vattenfall Vindkraft A/S,9944,Innen,8VM1-1,NA
