substation_iri,bay_iri
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FAAD02
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FD01_SH
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FD01_T
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FD02_SH
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10136_AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN/AU%3A+P-018429+B1808+USA+Vineyard+66-220kV+Semco+DAN%2FD02_T
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE02
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE03
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE04
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE05
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE06
